HTTrack3.49-2+htsswf+htsjava launched on Wed, 05 Nov 2025 15:32:53 at http://imagine-wp.local/ +*.png +*.gif +*.jpg +*.jpeg +*.css +*.js -ad.doubleclick.net/* -mime:application/foobar
(winhttrack -qiC2%Ps2u1%s%uN0%I0p3DaK0H0%kf2A25000%f#f -F "Mozilla/4.5 (compatible; HTTrack 3.0x; Windows 98)" -%F "<!-- Mirrored from %s%s by HTTrack Website Copier/3.x [XR&CO'2014], %s -->" -%l "en, *" http://imagine-wp.local/ -O1 "C:\Users\user\Documents\GitHub\imagine-uo.github.io\Imagine_HTML" +*.png +*.gif +*.jpg +*.jpeg +*.css +*.js -ad.doubleclick.net/* -mime:application/foobar )

Information, Warnings and Errors reported for this mirror:
note:	the hts-log.txt file, and hts-cache folder, may contain sensitive information,
	such as username/password authentication for websites mirrored in this project
	do not share these files/folders if you want these information to remain private

16:44:53	Warning: 	Retry after error -4 (Incorrect length (11794795 Bytes, 15357572 expected)) at link imagine-wp.local/wp-content/uploads/2025/10/EUSFLAT-2025-Presentacion-Marina.jpg (from imagine-wp.local/2025/08/08/eusflat-2025-report/)
16:44:53	Warning: 	Moved Permanently for imagine-wp.local/miranda/
16:44:53	Warning: 	File has moved from imagine-wp.local/miranda/ to http://imagine-wp.local/members/miranda/
16:44:53	Warning: 	HTML file (48659 bytes) retransferred due to lack of cache: imagine-wp.local/members/miranda/
16:44:53	Warning: 	Moved Permanently for imagine-wp.local/?p=400
16:44:53	Warning: 	File has moved from imagine-wp.local/?p=400 to http://imagine-wp.local/members/montes/
16:44:56	Warning: 	HTML file (797 bytes) retransferred due to lack of cache: imagine-wp.local/?p=406
16:44:57	Warning: 	Moved Permanently for imagine-wp.local/?p=408
16:44:57	Warning: 	File has moved from imagine-wp.local/?p=408 to http://imagine-wp.local/members/salamanca/
16:44:57	Error: 	"Incorrect length (7782426 Bytes, 10074358 expected)" (-4) after 2 retries at link imagine-wp.local/wp-content/uploads/2025/09/SEIO2023-David.pdf (from imagine-wp.local/scientific-production/)
16:44:57	Error: 	"Incorrect length (5167810 Bytes, 7744059 expected)" (-4) after 2 retries at link imagine-wp.local/wp-content/uploads/2025/09/GEDM2025-miranda.pdf (from imagine-wp.local/scientific-production/)
16:44:57	Error: 	"Incorrect length (5160087 Bytes, 7185928 expected)" (-4) after 2 retries at link imagine-wp.local/wp-content/uploads/2025/08/SMPS2024_Quique.pdf (from imagine-wp.local/scientific-production/)
16:44:57	Error: 	"Incorrect length (2515675 Bytes, 4897533 expected)" (-4) after 2 retries at link imagine-wp.local/wp-content/uploads/2025/09/ISIPTA2025-Marina.pdf (from imagine-wp.local/scientific-production/)
16:44:57	Warning: 	Retry after error -4 (Incorrect length (9557874 Bytes, 11576270 expected)) at link imagine-wp.local/wp-content/uploads/2025/10/EUSFLAT-2025-Raul-y-Bernard-Panel.jpg (from imagine-wp.local/2025/08/08/eusflat-2025-report/)
16:46:01	Warning: 	Retry after error -4 (Incorrect length (12782424 Bytes, 15125236 expected)) at link imagine-wp.local/wp-content/uploads/2025/10/EUSFLAT-2025-Presentacion-Raul.jpg (from imagine-wp.local/2025/08/08/eusflat-2025-report/)
16:47:05	Warning: 	Retry after error -4 (Incorrect length (12872478 Bytes, 15357572 expected)) at link imagine-wp.local/wp-content/uploads/2025/10/EUSFLAT-2025-Presentacion-Marina.jpg (from imagine-wp.local/2025/08/08/eusflat-2025-report/)
16:47:07	Warning: 	HTML file (781 bytes) retransferred due to lack of cache: imagine-wp.local/?p=394
16:47:09	Warning: 	Moved Permanently for imagine-wp.local/?p=406
16:47:09	Warning: 	File has moved from imagine-wp.local/?p=406 to http://imagine-wp.local/members/perez-fernandez/
16:50:40	Warning: 	Moved Permanently for imagine-wp.local/?p=394
16:50:40	Warning: 	File has moved from imagine-wp.local/?p=394 to http://imagine-wp.local/members/miranda/

HTTrack Website Copier/3.49-2 mirror complete in 1 hours 17 minutes 47 seconds : 215 links scanned, 160 files written (107469306 bytes overall) [115251881 bytes received at 24695 bytes/sec], 1775797 bytes transferred using HTTP compression in 81 files, ratio 30%, 1.6 requests per connection
(8 errors, 134 warnings, 0 messages)
